ID,DOB,Name
115423723,1974-09-23,"Wee Fletcher"
118784412,1976-07-24,"Jinchao Henson"
120308944,1974-06-12,"Gene Lehmer"
124208644,1974-06-07,"John Basaraba"
126544126,1977-09-15,"Jason Wang"
131838016,1976-03-12,"Daniel Woo"
143293833,1972-02-08,"Jamie Yang"
163728111,1977-12-12,"Todd Lu"
164500920,1975-08-28,"Omar Shahnawaz"
164776911,1976-09-30,"Jason Huang"
170815037,1975-11-23,"Yeow Huang"
185141262,1973-05-23,"William Stumpf"
191083779,1978-09-15,"Sameer Shah"
201586985,1976-12-03,"Min Tuyet"
203745018,1976-09-01,"Brian Stumpf"
212976207,1974-09-28,"Jason Newman"
221157745,1976-01-09,"Adam Lee"
222105935,1978-01-12,"Wee Wang"
224620876,1975-01-23,"Feng Huang"
232820149,1976-11-30,"Lin Zhou"
252533260,1975-04-14,"Eric Wang"
259028125,1976-03-14,"Aaron Newman"
260369148,1973-11-19,"Yanqiu Huang"
261812056,1974-09-30,"Jason Carney"
262891588,1973-09-13,"Randy Hellman"
271978135,1976-04-11,"Wen White"
273277984,1976-05-13,"Lee Andrews"
279702622,1974-03-13,"Zhen Messer"
285719425,1977-03-04,"Chee Yang"
290986112,1973-12-03,"Golam Bagga"
296669559,1976-06-01,"Wee Tuyet"
302335678,1975-11-12,"Eric Dennis"
308635036,1976-02-14,"Scot Lee"
315967897,1974-03-16,"Jialiang Jiang"
328718420,1977-04-05,"Colleen Parcher"
330260152,1978-05-06,"Ling Tesar"
332012037,1972-06-07,"Randy Lewis"
340502961,1973-07-08,"Josh Woo"
363200537,1974-08-09,"Wee Whitteney"
365774792,1975-09-10,"William Yang"
382109560,1976-10-11,"Dennis Fletcher"
386167477,1977-11-12,"Seth Carney"
387215322,1978-12-13,"Colleen Good"
391910519,1972-01-14,"Ming Jiang"
406746417,1973-02-15,"Ryan Schmidt"
409508678,1974-03-16,"Golam Mohammad"
419180204,1975-04-17,"Kerry Marks"
432180765,1976-05-18,"Eric Loader"
449976666,1956-09-15,"Jun Wang"
463249547,1977-06-19,"Chad Moore"
466094162,1978-07-20,"Stumpf Andrews"
466388906,1972-08-21,"Darren Lehmann"
467545237,1973-09-22,"Damien Martyn"
477453864,1974-10-23,"Brett Lee"
483223789,1975-11-24,"Jan Harvey"
483727101,1976-12-25,"Jim Slater"
485619193,1977-01-26,"Daniel Hayden"
490649143,1978-02-27,"Naseer Hussain"
495490053,1972-03-28,"Michael Vaughan"
500094214,1972-04-29,"Bradley Hoggs"
501674545,1973-05-30,"Dennis Patten"
504013895,1960-11-12,"Philip Simmons"
513110141,1974-06-01,"Augustin Logie"
513729696,1975-07-02,"Barry Pollock"
547083692,1976-08-03,"Neil Foster"
550658107,1977-09-04,"Neil Radford"
555010131,1978-10-05,"Graeme Dilly"
587735656,1972-11-06,"Wilf slack"
590987789,1973-12-07,"Alex Tudor"
601496044,1974-01-08,"Craig White"
616740646,1975-02-09,"Derek Crooks"
636596145,1976-03-10,"Jan Austin"
644488789,1977-04-11,"Dave Whatmore"
658579865,1978-05-12,"Jeremy Koney"
664353912,1972-06-13,"Merv Hughes"
685744439,1962-09-24,"John Bracewell"
696302689,1973-07-14,"Martin Crowe"
696335701,1974-08-15,"Gavin Larson"
712524758,1975-09-16,"Chris Harris"
712952591,1976-10-17,"Chris Cairns"
722131306,1977-11-18,"Glen Turner"
737972250,1978-12-19,"Deepak Patel"
743991555,1972-01-20,"Aldin Baptist"
750913239,1973-02-21,"John Poweel"
774885901,1974-03-22,"Barbara Potters"
785103478,1975-04-23,"Jennifer Lowe"
785273479,1976-05-24,"Juan Rodriguez"
785811329,1977-06-25,"Marcus Trescothick"
787422802,1978-07-26,"Vikram Solanki"
793034333,1972-08-27,"Ronnie Irani"
801166066,1973-09-28,"Alan Sherear"
803024290,1974-10-29,"Rud Gullit"
812073765,1975-11-30,"Martin Vasquez"
831142613,1976-12-31,"John Freeman"
836826630,1977-01-01,"Philip Richards"
839437833,1978-02-02,"Phil Edmonds"
845037919,1972-03-03,"John Emburey"
850631208,1973-04-04,"Robin Smith"
862952924,1974-05-05,"Gavin Robertson"
867910658,1975-06-06,"Justin Langer"
876550324,1976-07-07,"Greg Blewett"
885469446,1977-08-08,"John Matthews"
895255243,1955-12-11,"Ray Bright"
901511548,1963-03-04,"Evan Chatfield"
905922853,1978-09-09,"Shaun Elliot"
907425648,1952-11-28,"Perminder Singh"
909334701,1964-02-27,"Jacques Kallis"
916916939,1972-10-10,"Alan Donald"
924248824,1973-11-11,"Geoff Marsh"
930231660,1965-07-04,"David Boon"
952145559,1962-01-02,"Dean Jones"
956234659,1974-12-12,"Tom Moody"
961874958,1975-01-13,"Ricky Ponting"
965882492,1963-01-24,"Alan Border"
973071948,1976-02-14,"Kepler Wessels"
980102825,1977-03-15,"Peter Kirsten"
985954783,1978-04-16,"Chris Pringle"
992485307,1972-05-17,"Craig Matthews"
996056608,1973-06-18,"Richard Snell"
997111094,1974-07-19,"Richard Ellison"
